ID,Type,Name,Place,Sleeps,Bedrooms,Bathrooms,Prices from (£/week),Price band,Tags,Tagline,Description (from the site),Page,Enabled,Notes / TBC,Owner: correct?,Owner: comment
bittern,cottage,Bittern,Horning,8,4,2,737,700-1000,pet-friendly; moorings; waterside; single-level; big-group; family-friendly; horning,"Sleeps 8 in Horning, by the water, with a mooring.","Bittern is a waterside cottage that sleeps 8 guests, perfect for your family holiday. It is pet-friendly and has a large garden with private mooring and river views.",https://www.riverside-rentals.co.uk/property/bittern/,yes,,,
bluebell-lodge,cottage,Bluebell Lodge,Horning,4,2,1,470,under-700,moorings; waterside; small; fishing; parking; horning,"Sleeps 4 in Horning, by the water, with a mooring.","A modern well equipped cottage in sought after Ferry Marina, great for fishing or simply relaxing. Benefits from its own parking space and private mooring a short distance from the property.",https://www.riverside-rentals.co.uk/property/bluebell-lodge/,yes,,,
broadwater,cottage,Broadwater,Wroxham,6,3,2,894,700-1000,moorings; waterside; day-boat; fishing; village-centre; garden; family-friendly; wroxham,"Sleeps 6 in Wroxham, by the water, with a mooring.",Broadwater is a perfect retreat for fishing and making memories close to the heart of the Captial of the Broads Wroxham. This upside down property give outstanding views to the main river in Wroxham yet set just off on a back water.,https://www.riverside-rentals.co.uk/property/broadwater/,yes,,,
bure-banks,cottage,Bure Banks,Wroxham,5,3,2,728,700-1000,pet-friendly; moorings; waterside; fishing; village-centre; garden; wroxham,"Sleeps 5 in Wroxham, by the water, with a mooring.","Superb living accommodation right in the heart of Wroxham and Hoveton. Right on the water front for your Norfolk Broads break whether its for fishing, wildlife watching or just chilling out.",https://www.riverside-rentals.co.uk/property/bure-banks/,yes,,,
bure-croft,cottage,Bure Croft,Wroxham,8,4,2,955,700-1000,pet-friendly; moorings; waterside; single-level; big-group; fishing; village-centre; garden; wroxham,"Sleeps 8 in Wroxham, by the water, with a mooring.",Superb riverside holiday accommodation right in the heart of Wroxham and Hoveton a short walk from local shops and restaurants. Decked garden area and well behaved pets welcomed.,https://www.riverside-rentals.co.uk/property/bure-croft/,yes,,,
bureville,cottage,Bureville,Horning,10,5,4,2250,over-1500,pet-friendly; moorings; river-view; waterside; single-level; big-group; parking; family-friendly; horning,"Sleeps 10 in Horning, on the main river, with a mooring.",Bureville is a truly unique holiday property that sleeps up to 10 guests. It is set on the banks of the River Bure in Horning.,https://www.riverside-rentals.co.uk/property/bureville/,yes,,,
buttercup-lodge,cottage,Buttercup Lodge,Horning,4,2,1,470,under-700,pet-friendly; waterside; small; fishing; parking; family-friendly; horning,"Sleeps 4 in Horning, by the water, dogs welcome.","A modern well equipped holiday cottage (sleeps 4) in sought after Ferry Marina, great for fishing or simply relaxing. Pet-friendly.",https://www.riverside-rentals.co.uk/property/buttercup-lodge/,yes,,,
cavell,cottage,Cavell,Wroxham,2,1,1,491,under-700,pet-friendly; waterside; for-two; small; village-centre; parking; wroxham,"Sleeps 2 in Wroxham, by the water, dogs welcome.","Cavell is a delightful 1 bedroom holiday cottage on the Peninsula, in the heart of Wroxham.",https://www.riverside-rentals.co.uk/property/cavell/,yes,,,
coots,cottage,Coots,Wroxham,6,3,3,955,700-1000,pet-friendly; moorings; waterside; single-level; village-centre; wroxham,"Sleeps 6 in Wroxham, by the water, with a mooring.",Superb riverside holiday accommodation right in the heart of Wroxham and Hoveton a short walk from local shops and restaurants.,https://www.riverside-rentals.co.uk/property/coots/,yes,,,
cresta-cottage,cottage,Cresta Cottage,Horning,7,4,2,835,700-1000,pet-friendly; moorings; river-view; waterside; single-level; parking; family-friendly; horning,"Sleeps 7 in Horning, on the main river, with a mooring.","Cresta is a stunning chocolate box traditional thatched pet-friendly holiday cottage. It sleeps up to 7 guests and is on the banks of the River Bure, occupying a corner plot on the main river at Horning.",https://www.riverside-rentals.co.uk/property/cresta-cottage/,yes,,,
